animal,latin_name,order,sex,LociVS,diff_LociVS,mod_diff_LociVS,midpoint_lat,mass,dichro,sexual_dichro,gen_time,survival,age_first_breed,max_lifespan,mating_system_og,mating_system_binary,paternal_care,migration
Acanthiza_uropygialis,Acanthiza_uropygialis,Passeriformes,F,74.44196191,-15.17761138,15.17761138,-34.36539469,71.82869729,0,10.12144252,2.732433321,0.645491518,0.955680776,12.63143483,0,0,1,0
Acanthorhynchus_superciliosus,Acanthorhynchus_superciliosus,Passeriformes,M,74.93683571,19.93683571,19.93683571,-39.69009303,188.0120211,0.8,91.6772339,2.564395028,0.596210516,1.14493495,9.856740676,0,0,1,0
Acanthorhynchus_superciliosus,Acanthorhynchus_superciliosus,Passeriformes,F,55,19.93683571,19.93683571,-39.69009303,188.0120211,0.8,91.6772339,2.564395028,0.596210516,1.14493495,9.856740676,0,0,1,0
Acanthorhynchus_tenuirostris,Acanthorhynchus_tenuirostris,Passeriformes,M,78.84807634,-4.30420615,4.30420615,-38.78907712,221.6381834,0.4,60.45908903,3.100284106,0.614022031,1.045701812,15.5,0,0,1,0
Acanthorhynchus_tenuirostris,Acanthorhynchus_tenuirostris,Passeriformes,F,83.15228249,-4.30420615,4.30420615,-38.78907712,221.6381834,0.4,60.45908903,3.100284106,0.614022031,1.045701812,15.5,0,0,1,0
Achaetops_pycnopygius,Achaetops_pycnopygius,Passeriformes,F,64.96922348,8.53414687,8.53414687,-23.05316084,2202.225591,0,28.76756107,3.130546877,0.679492709,1.297259086,9.087150725,0,0,1,0
Achaetops_pycnopygius,Achaetops_pycnopygius,Passeriformes,M,73.50337035,8.53414687,8.53414687,-23.05316084,2202.225591,0,28.76756107,3.130546877,0.679492709,1.297259086,9.087150725,0,0,1,0
Acridotheres_albocinctus,Acridotheres_albocinctus,Passeriformes,M,53.76625072,5.43520578,5.43520578,28.9544327,34562.32439,0,24.442023,2.968273743,0.676833907,1.079797463,9.652239538,NA,NA,1,0
Acridotheres_albocinctus,Acridotheres_albocinctus,Passeriformes,F,48.33104494,5.43520578,5.43520578,28.9544327,34562.32439,0,24.442023,2.968273743,0.676833907,1.079797463,9.652239538,NA,NA,1,0
Acridotheres_cinereus,Acridotheres_cinereus,Passeriformes,M,43.8178046,-8.57784603,8.57784603,-8.806480183,34562.32439,0,39.78556906,2.995091096,0.714609052,1.074873229,8.275000314,NA,NA,1,0
Acridotheres_cinereus,Acridotheres_cinereus,Passeriformes,F,52.39565063,-8.57784603,8.57784603,-8.806480183,34562.32439,0,39.78556906,2.995091096,0.714609052,1.074873229,8.275000314,NA,NA,1,0
Acridotheres_cristatellus,Acridotheres_cristatellus,Passeriformes,M,46.59098845,1.07447068,1.07447068,32.19088412,57050.44548,0,47.06397019,2.708717223,0.628723359,1.003493687,13,0,0,1,0
Acridotheres_cristatellus,Acridotheres_cristatellus,Passeriformes,F,45.51651777,1.07447068,1.07447068,32.19088412,57050.44548,0,47.06397019,2.708717223,0.628723359,1.003493687,13,0,0,1,0
Acridotheres_fuscus,Acridotheres_fuscus,Passeriformes,F,49.62384389,-4.77662539,4.77662539,25.95801827,26087.23563,0,35.49679984,2.674915747,0.648908786,1.014086522,9.123868485,0,0,1,0
Acridotheres_fuscus,Acridotheres_fuscus,Passeriformes,M,44.8472185,-4.77662539,4.77662539,25.95801827,26087.23563,0,35.49679984,2.674915747,0.648908786,1.014086522,9.123868485,0,0,1,0
Acridotheres_ginginianus,Acridotheres_ginginianus,Passeriformes,F,62.65418996,1.63551232,1.63551232,31.72713912,18908.89364,0,37.48145041,2.307273041,0.597080855,0.913035105,8.55302617,0,0,1,0
Acridotheres_ginginianus,Acridotheres_ginginianus,Passeriformes,M,64.28970228,1.63551232,1.63551232,31.72713912,18908.89364,0,37.48145041,2.307273041,0.597080855,0.913035105,8.55302617,0,0,1,0
Acridotheres_grandis,Acridotheres_grandis,Passeriformes,M,53.86776056,-0.49400792,0.49400792,22.23410205,39283.51549,0,24.89360387,2.781843911,0.66,1,9.788888889,NA,NA,1,0
Acridotheres_grandis,Acridotheres_grandis,Passeriformes,F,54.36176848,-0.49400792,0.49400792,22.23410205,39283.51549,0,24.89360387,2.781843911,0.66,1,9.788888889,NA,NA,1,0
Acridotheres_tristis,Acridotheres_tristis,Passeriformes,M,61.13309647,4.6464784,4.6464784,31.37449857,57186.06769,0,30.42490222,3.211699055,0.689995949,1.12732746,12.2,0,0,1,0
Acridotheres_tristis,Acridotheres_tristis,Passeriformes,F,56.48661807,4.6464784,4.6464784,31.37449857,57186.06769,0,30.42490222,3.211699055,0.689995949,1.12732746,12.2,0,0,1,0
Acrocephalus_agricola,Acrocephalus_agricola,Passeriformes,M,48.27446923,-2.19248952,2.19248952,52.42704462,182.7103283,0,19.90765556,2.184121403,0.517945025,1,9.330473744,0,0,1,2
Acrocephalus_agricola,Acrocephalus_agricola,Passeriformes,F,50.46695875,-2.19248952,2.19248952,52.42704462,182.7103283,0,19.90765556,2.184121403,0.517945025,1,9.330473744,0,0,1,2
